country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year,rank
Switzerland,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2015,1
Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015,2
Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2015,3
Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015,4
Canada,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015,5
Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015,6
Netherlands,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2015,7
Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2015,8
New Zealand,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2015,9
Australia,North America and ANZ,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015,10
Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2016,1
Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016,2
Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2016,3
Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2016,4
Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016,5
Canada,North America and ANZ,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016,6
Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2016,7
New Zealand,North America and ANZ,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2016,8
Australia,North America and ANZ,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2016,9
Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016,10
Norway,Western Europe,7.5370,1.6165,1.5335,0.7967,0.6354,0.3620,0.3160,2017,1
Denmark,Western Europe,7.5220,1.4824,1.5511,0.7926,0.6260,0.3553,0.4008,2017,2
Iceland,Western Europe,7.5040,1.4806,1.6106,0.8336,0.6272,0.4755,0.1535,2017,3
Switzerland,Western Europe,7.4940,1.5650,1.5169,0.8581,0.6201,0.2905,0.3670,2017,4
Finland,Western Europe,7.4690,1.4436,1.5402,0.8092,0.6180,0.2455,0.3826,2017,5
Netherlands,Western Europe,7.3770,1.5039,1.4289,0.8107,0.5854,0.4705,0.2827,2017,6
Canada,North America and ANZ,7.3160,1.4792,1.4813,0.8346,0.6111,0.4355,0.2874,2017,7
New Zealand,North America and ANZ,7.3140,1.4057,1.5482,0.8168,0.6141,0.5000,0.3828,2017,8
Sweden,Western Europe,7.2840,1.4944,1.4782,0.8309,0.6129,0.3854,0.3844,2017,9
Australia,North America and ANZ,7.2840,1.4844,1.5100,0.8439,0.6016,0.4777,0.3012,2017,10
Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,1
Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018,2
Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,3
Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,4
Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,5
Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018,6
Canada,North America and ANZ,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018,7
New Zealand,North America and ANZ,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,8
Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018,9
Australia,North America and ANZ,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,10
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,1
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,2
Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,3
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,4
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,5
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,6
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,7
New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,8
Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,9
Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,10
Finland,Western Europe,7.809,1.285,1.500,0.961,0.662,0.160,0.478,2020,1
Denmark,Western Europe,7.646,1.327,1.503,0.979,0.665,0.243,0.495,2020,2
Switzerland,Western Europe,7.560,1.391,1.472,1.041,0.629,0.269,0.408,2020,3
Iceland,Western Europe,7.504,1.327,1.548,1.001,0.662,0.362,0.145,2020,4
